x,y,parameter
151.0,491.0,1.691042081923E9
151.0,476.0,1.691042081936E9
151.0,460.0,1.691042081938E9
149.0,448.0,1.691042081946E9
149.0,438.0,1.691042081953E9
149.0,430.0,1.691042081961E9
149.0,419.0,1.691042081968E9
150.0,409.0,1.691042081976E9
150.0,398.0,1.691042081984E9
151.0,385.0,1.691042081991E9
152.0,375.0,1.691042081999E9
155.0,366.0,1.691042082006E9
159.0,355.0,1.691042082013E9
163.0,341.0,1.6910420820210001E9
168.0,324.0,1.691042082028E9
173.0,308.0,1.691042082036E9
178.0,295.0,1.691042082043E9
181.0,285.0,1.69104208205E9
184.0,275.0,1.691042082058E9
187.0,265.0,1.691042082065E9
191.0,257.0,1.691042082073E9
195.0,249.0,1.69104208208E9
197.0,244.0,1.691042082088E9
199.0,239.0,1.691042082095E9
203.0,234.0,1.691042082103E9
207.0,231.0,1.691042082109E9
215.0,225.0,1.691042082117E9
222.0,220.0,1.691042082124E9
229.0,216.0,1.691042082132E9
236.0,213.0,1.691042082139E9
243.0,210.0,1.691042082147E9
251.0,208.0,1.691042082153E9
260.0,206.0,1.691042082161E9
269.0,205.0,1.6910420821690001E9
279.0,205.0,1.691042082176E9
287.0,205.0,1.691042082184E9
293.0,205.0,1.6910420821920002E9
301.0,207.0,1.6910420821990001E9
307.0,210.0,1.691042082206E9
313.0,214.0,1.691042082214E9
321.0,218.0,1.691042082221E9
329.0,223.0,1.691042082228E9
338.0,229.0,1.6910420822350001E9
348.0,235.0,1.691042082243E9
357.0,242.0,1.691042082251E9
364.0,247.0,1.6910420822580001E9
371.0,253.0,1.691042082266E9
377.0,259.0,1.691042082274E9
384.0,267.0,1.6910420822810001E9
392.0,279.0,1.691042082288E9
401.0,292.0,1.691042082295E9
407.0,303.0,1.691042082303E9
413.0,311.0,1.691042082311E9
419.0,321.0,1.6910420823170002E9
425.0,331.0,1.691042082325E9
432.0,343.0,1.691042082332E9
438.0,355.0,1.6910420823400002E9
443.0,366.0,1.6910420823470001E9
448.0,375.0,1.691042082355E9
451.0,380.0,1.691042082362E9
453.0,386.0,1.6910420823700001E9
457.0,391.0,1.691042082377E9
458.0,395.0,1.691042082384E9
462.0,400.0,1.691042082391E9
464.0,403.0,1.691042082399E9
466.0,406.0,1.691042082407E9
469.0,408.0,1.691042082414E9
470.0,409.0,1.691042082422E9
472.0,411.0,1.6910420824290001E9
474.0,412.0,1.691042082436E9
477.0,413.0,1.691042082443E9
479.0,414.0,1.691042082451E9
482.0,414.0,1.691042082458E9
485.0,414.0,1.691042082466E9
490.0,414.0,1.691042082473E9
495.0,414.0,1.69104208248E9
499.0,414.0,1.691042082488E9
504.0,413.0,1.691042082496E9
509.0,412.0,1.691042082503E9
518.0,411.0,1.691042082511E9
526.0,409.0,1.6910420825180001E9
534.0,407.0,1.691042082526E9
545.0,405.0,1.691042082533E9
553.0,401.0,1.6910420825410001E9
562.0,399.0,1.691042082548E9
569.0,395.0,1.691042082556E9
575.0,391.0,1.691042082563E9
580.0,387.0,1.691042082571E9
585.0,383.0,1.6910420825770001E9
589.0,379.0,1.691042082586E9
600.0,367.0,1.6910420826000001E9
605.0,363.0,1.691042082607E9
609.0,358.0,1.691042082615E9
613.0,353.0,1.691042082622E9
618.0,348.0,1.691042082629E9
623.0,343.0,1.691042082637E9
627.0,335.0,1.691042082645E9
633.0,325.0,1.691042082652E9
639.0,313.0,1.69104208266E9
643.0,303.0,1.691042082667E9
647.0,293.0,1.691042082674E9
651.0,283.0,1.691042082681E9
654.0,272.0,1.69104208269E9
658.0,259.0,1.691042082696E9
661.0,245.0,1.691042082705E9
661.0,237.0,1.691042082711E9
663.0,231.0,1.691042082718E9
663.0,228.0,1.691042082726E9
663.0,226.0,1.691042082734E9
663.0,225.0,1.691042082741E9
663.0,224.0,1.6910420827480001E9
663.0,223.0,1.691042082756E9
